# OBS_DATE
2006-04-09T04:58:42.323
# TELESCOPE
ESO-VLT-U2
# INSTRUMENT
UVES
# TARGET
2MASS J13004255+1912354
# EXPOSURE TIME (SEC)
3899.9993
# PROGRAMME ID
077.C-0449(A)
# RIGHT ASCENSION
13:00:42.2
# DECLINATION
19:12:26.8
# DETECTOR GAIN
0.63
# WAVELENGTH UNIT
Angstrom
# FLUX UNIT
ADU
# COMMENT
Adapted from the FITS (Flexible Image Transport System) format is defined in 'Astronomy
and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H
# DATA
WAVELENGTH,FLUX
6641.0923,39.7659
6641.1314,37.1318
6641.1705,32.4724
6641.2096,31.8878
6641.2487,40.4836
6641.2878,43.3540
6641.3269,38.2938
6641.3660,40.4417
6641.4051,40.3762
6641.4442,43.7931
6641.4833,40.4521
6641.5224,45.3150
6641.5615,44.6686
6641.6006,41.2249
6641.6397,51.0543
6641.6788,55.8801
6641.7179,56.7550
6641.7570,58.6143
6641.7960,50.2584
6641.8351,45.7659
6641.8742,47.5255
6641.9133,46.5448
6641.9524,42.8194
6641.9915,40.0852
6642.0306,43.0253
6642.0697,43.6850
6642.1088,47.0693
6642.1479,49.6585
6642.1870,43.5180
6642.2261,45.2798
6642.2652,44.6266
6642.3043,42.8921
6642.3434,43.8087
6642.3825,46.1531
6642.4216,50.3276
6642.4607,43.6836
6642.4998,46.7036
6642.5388,46.0892
6642.5779,43.7562
6642.6170,47.3980
6642.6561,39.2877
6642.6952,43.1913
6642.7343,54.1834
6642.7734,54.6031
6642.8125,34.5525
6642.8516,38.3467
6642.8907,42.8208
6642.9298,42.5455
6642.9689,36.7086
6643.0080,37.5323
6643.0471,39.4512
6643.0862,40.3604
6643.1253,32.4980
6643.1644,31.3723
6643.2035,34.0109
6643.2425,40.1678
6643.2816,47.0330
6643.3207,45.5518
6643.3598,38.4195
6643.3989,44.0638
6643.4380,45.2646
6643.4771,44.3002
6643.5162,42.5505
6643.5553,41.7188
6643.5944,40.1875
6643.6335,41.5397
6643.6726,41.1780
6643.7117,34.6478
6643.7508,29.5822
6643.7899,30.0449
6643.8290,34.4583
6643.8681,41.5910
6643.9072,46.7895
6643.9463,45.1142
6643.9853,38.4152
6644.0244,22.9321
6644.0635,33.0046
6644.1026,38.4770
6644.1417,43.9178
6644.1808,45.1680
6644.2199,46.6278
6644.2590,45.5106
6644.2981,42.7361
6644.3372,43.8847
6644.3763,47.9450
6644.4154,39.4414
6644.4545,24.0567
6644.4936,35.4739
6644.5327,35.5951
6644.5718,36.1686
6644.6109,39.7380
6644.6500,43.0895
6644.6891,39.6437
6644.7281,41.0338
6644.7672,37.6901
6644.8063,41.0458
6644.8454,47.3711
6644.8845,48.0130
6644.9236,42.8551
6644.9627,40.9936
6645.0018,47.1995
6645.0409,48.5047
6645.0800,44.3916
6645.1191,47.9746
6645.1582,30.2615
6645.1973,36.1156
6645.2364,55.5795
6645.2755,39.0979
6645.3146,40.5991
6645.3537,40.5908
6645.3928,42.7223
6645.4319,42.4920
6645.4709,40.7033
6645.5100,49.0649
6645.5491,51.1940
6645.5882,44.7362
6645.6273,44.3452
6645.6664,48.7692
6645.7055,45.1652
6645.7446,49.4312
6645.7837,37.5772
6645.8228,42.5870
6645.8619,44.3167
6645.9010,44.0908
6645.9401,42.0288
6645.9792,43.1204
6646.0183,43.0699
6646.0574,42.6694
6646.0965,39.9486
6646.1356,37.5884
6646.1747,36.5602
6646.2137,41.7114
6646.2528,47.6118
6646.2919,45.3775
6646.3310,40.0323
6646.3701,47.0484
6646.4092,40.4048
6646.4483,41.3927
6646.4874,45.1635
6646.5265,37.8946
6646.5656,41.6710
6646.6047,40.0514
6646.6438,42.5052
6646.6829,56.8485
6646.7220,46.4734
6646.7611,39.1575
6646.8002,42.0354
6646.8393,54.8607
6646.8784,44.4573
6646.9175,44.4442
6646.9565,49.2152
6646.9956,58.0290
6647.0347,44.3145
6647.0738,52.0263
6647.1129,55.5812
6647.1520,44.1387
6647.1911,49.0924
6647.2302,41.5514
6647.2693,36.6833
6647.3084,40.1322
6647.3475,39.5292
6647.3866,46.4510
6647.4257,47.9121
6647.4648,45.3381
6647.5039,37.7599
6647.5430,44.4816
6647.5821,49.7282
6647.6212,40.7333
6647.6602,48.1557
6647.6993,51.6469
6647.7384,46.6037
6647.7775,39.0957
6647.8166,43.4506
6647.8557,48.9829
6647.8948,47.9613
6647.9339,42.9916
6647.9730,34.8052
6648.0121,43.4795
6648.0512,47.6687
6648.0903,46.1916
6648.1294,44.5764
6648.1685,38.9311
6648.2076,41.2603
6648.2467,43.8379
6648.2858,43.8028
6648.3249,41.6085
6648.3640,43.6098
6648.4030,41.4402
6648.4421,31.5729
6648.4812,38.0845
6648.5203,43.1008
6648.5594,45.6864
6648.5985,31.9201
6648.6376,43.0275
6648.6767,39.4953
6648.7158,39.6376
6648.7549,38.0732
6648.7940,37.6435
6648.8331,32.6369
6648.8722,29.1585
6648.9113,32.2450
6648.9504,23.8002
6648.9895,24.1910
6649.0286,31.4184
6649.0677,35.4938
6649.1068,32.4984
6649.1458,39.8202
6649.1849,34.2905
6649.2240,29.2306
6649.2631,27.4278
6649.3022,40.9025
6649.3413,36.1373
6649.3804,36.2649
6649.4195,40.6405
6649.4586,49.5119
6649.4977,35.2716
6649.5368,34.3940
6649.5759,37.8342
6649.6150,38.7020
6649.6541,40.4832
6649.6932,38.0780
6649.7323,33.1493
6649.7714,26.7409
6649.8105,34.9816
6649.8496,29.0585
6649.8886,25.2450
6649.9277,25.6534
6649.9668,31.2197
6650.0059,32.4594
6650.0450,36.4994
6650.0841,40.4004
6650.1232,38.4131
6650.1623,35.7635
6650.2014,44.4242
6650.2405,47.3156
6650.2796,32.5031
6650.3187,38.3598
6650.3578,37.0637
6650.3969,36.9383
6650.4360,38.7069
6650.4751,35.9635
6650.5142,28.5640
6650.5533,39.4166
6650.5924,39.6096
6650.6314,41.3088
6650.6705,42.2734
6650.7096,39.2024
6650.7487,33.0382
6650.7878,40.3487
6650.8269,44.6935
6650.8660,39.2820
6650.9051,34.2492
6650.9442,38.2715
6650.9833,36.1889
6651.0224,40.2312
6651.0615,35.6744
6651.1006,29.4866
6651.1397,37.4186
6651.1788,29.2884
6651.2179,37.3179
6651.2570,33.5219
6651.2961,26.5843
6651.3351,48.6465
6651.3742,39.2738
6651.4133,37.7434
6651.4524,43.4893
6651.4915,41.1841
6651.5306,38.4114
6651.5697,34.2116
6651.6088,34.9311
6651.6479,46.2118
6651.6870,41.2566
6651.7261,38.5066
6651.7652,35.2414
6651.8043,43.0889
6651.8434,33.7862
6651.8825,36.3084
6651.9216,40.1172
6651.9607,43.7865
6651.9998,49.3775
6652.0389,48.6228
6652.0779,41.7924
6652.1170,36.0749
6652.1561,37.9972
6652.1952,37.2083
6652.2343,35.6189
6652.2734,41.6980
6652.3125,51.0436
6652.3516,38.1117
6652.3907,42.3837
6652.4298,38.7356
6652.4689,37.4014
6652.5080,43.4976
6652.5471,36.2035
6652.5862,37.7574
6652.6253,34.2399
6652.6644,40.4186
6652.7035,42.9429
6652.7426,41.5169
6652.7817,38.9747
6652.8207,39.6487
6652.8598,48.9502
6652.8989,42.0616
6652.9380,42.1729
6652.9771,38.0271
6653.0162,47.4690
6653.0553,53.0369
6653.0944,55.8986
6653.1335,50.3660
6653.1726,41.3957
6653.2117,33.6880
6653.2508,39.0161
6653.2899,43.2068
6653.3290,35.0078
6653.3681,28.8904
6653.4072,36.0379
6653.4463,36.9620
6653.4854,35.7930
6653.5245,34.2650
6653.5635,34.0641
6653.6026,41.8510
6653.6417,46.6228
6653.6808,43.6304
6653.7199,35.5708
6653.7590,36.3630
6653.7981,40.1646
6653.8372,42.9521
6653.8763,40.2711
6653.9154,35.0986
6653.9545,42.0875
6653.9936,35.4513
6654.0327,36.0421
6654.0718,43.0078
6654.1109,53.8853
6654.1500,38.1706
6654.1891,43.3129
6654.2282,47.4891
6654.2673,42.9638
